"time_stamp","row_id","nr_validation_vv","1_battv_avg","2_ptemp_c_avg","3_airtc_avg","4_rh","5_ghi_wm2_avg","6_ghi_kwh_tot","7_gpoa_wm2_avg","8_gpoa_kwh_tot","9_v_dc_ucy2_07_avg","10_i_dc_ucy2_07_avg","11_p_ac_ucy2_07_avg","12_e_ac_ucy2_07_tot","13_p_dc_ucy2_07_avg","14_e_dc_ucy2_07_tot","15_tmod_ucy2_07_avg"
"2019-01-01 00:00:00",23707,0,12.11,12.98,8.42,90.4,0,0,0.038,0.00001915353,1.124,0,1.474,0.0007367884,0,0,7.404
"2019-01-01 00:30:00",23708,0,12.11,13.14,8.83,88.6,0,0,0.068,0.00003412719,1.038,0,1.412,0.0007082061,0,0,7.182
"2019-01-01 01:00:00",23709,0,12.11,13.37,9.48,84.4,0,0,0.563,0.0002813737,1.429,0,1.67,0.0008352386,0,0,8.36
"2019-01-01 01:30:00",23710,0,12.11,13.79,9.59,94.9,0.004,0.000001986388,0.023,0.00001149177,1.568,0,1.537,0.0007685465,0,0,8.87
"2019-01-01 02:00:00",23711,0,12.11,14.01,9.25,96.7,0,0,0,0,1.45,0,1.181,0.0005907011,0,0,9.05
"2019-01-01 02:30:00",23712,0,12.11,14.11,9.25,96.7,0,0,0,0,1.386,0,1.461,0.0007304368,0,0,9.05
"2019-01-01 03:00:00",23713,0,12.11,14.2,9.29,97.3,0,0,0,0,1.377,0,1.353,0.000676448,0,0,9.24
"2019-01-01 03:30:00",23714,0,12.11,14.19,9.49,98.2,0,0,0,0,1.303,0,1.747,0.0008733483,0,0,9.44
"2019-01-01 04:00:00",23715,0,12.11,14.24,9.66,98.8,0,0,0,0,1.251,0,1.543,0.0007717223,0,0,9.54
"2019-01-01 04:30:00",23716,0,12.11,14.43,9.87,98.9,0,0,0,0,1.355,0,1.442,0.0007209093,0,0,9.84
"2019-01-01 05:00:00",23717,0,12.11,14.59,9.91,98.7,0,0,0,0,1.265,0,1.277,0.0006383382,0,0,9.8
"2019-01-01 05:30:00",23718,0,12.11,14.66,9.74,98.8,0,0,0,0,1.253,0,1.518,0.0007590191,0,0,9.65
"2019-01-01 06:00:00",23719,0,12.11,14.72,9.77,99,0,0,0,0,1.252,0,1.321,0.0006605689,0,0,9.73
"2019-01-01 06:30:00",23720,0,12.11,14.76,9.79,99.1,0,0,0,0,2.428,0,1.397,0.0006986787,0,0,9.72
"2019-01-01 07:00:00",23721,0,12.11,14.79,9.88,99.2,0.986,0.0004928528,0.919,0.0004592551,15.18,0.005,1.372,0.0006859754,0.165,0.00008259084,9.88
"2019-01-01 07:30:00",23722,0,12.11,14.85,10.08,99.1,17.54,0.008771276,15,0.007499031,124.3,0.09,1.842,0.0009209855,9.79,0.004895221,10.17
"2019-01-01 08:00:00",23723,0,12.11,14.89,10.08,98.7,23.33,0.01166603,20.46,0.01023183,114,0.165,2.083,0.001041666,18.83,0.009415215,10.24
"2019-01-01 08:30:00",23724,0,12.11,14.98,10.06,96,52.33,0.02616304,47.06,0.02352821,136.3,0.372,6.504,0.003252032,50.98,0.02548931,10.73
"2019-01-01 09:00:00",23725,0,12.11,15.04,10.05,95.6,26.67,0.01333628,23.05,0.0115257,120,0.181,2.166,0.001082952,21.89,0.01094468,10.53
"2019-01-01 09:30:00",23726,0,12.11,15.22,10.17,95.6,56.18,0.02808788,51.23,0.02561639,133.7,0.401,9.92,0.004960618,54.1,0.02705132,11.28
"2019-01-01 10:00:00",23727,0,12.11,15.62,10.7,88,190.6,0.09532482,178.5,0.08923769,146.9,1.379,170.7,0.08533407,203.7,0.1018401,14.97
"2019-01-01 10:30:00",23728,0,12.11,16.56,12.13,78.95,331.5,0.1657277,322.4,0.161184,146.2,2.462,318.4,0.1592079,360.1,0.1800555,22.84
"2019-01-01 11:00:00",23729,0,12.11,17.67,12.85,69.59,391.4,0.19571,394.7,0.1973353,145.4,3.041,392.7,0.1963604,441.4,0.2207073,23.33
"2019-01-01 11:30:00",23730,0,12.11,18.65,13.83,65.02,634.3,0.3171671,723,0.3614905,140.9,5.527,696.6,0.3482999,773.8,0.3869107,32.14
"2019-01-01 12:00:00",23731,0,12.11,19.94,14.75,62.28,528.2,0.2641076,597.2,0.2985894,139,4.527,556.6,0.2783208,620.8,0.3103799,36.24
"2019-01-01 12:30:00",23732,0,12.11,20.65,14.45,58.53,504.6,0.2522763,553.3,0.2766341,142.9,4.182,525,0.262481,588.2,0.2941124,29.31
"2019-01-01 13:00:00",23733,0,12.11,21.28,15.33,59.96,394.5,0.1972419,442.6,0.2212954,137.7,3.41,414.1,0.207072,466.2,0.2331147,36.13
"2019-01-01 13:30:00",23734,0,12.11,21.72,15.13,60.54,163.9,0.0819277,137.5,0.06872819,141.7,1.087,124.9,0.06247039,153.9,0.07694989,22.38
