Datetime,Tamb,RH,GHI,POA,Pac,Pdc,Tmod
1/1/22 0:00,15.18,83.3,0,0,0.002,0,8.85
1/1/22 0:30,15.04,85.1,0,0,0.002,0,8.17
1/1/22 1:00,14.73,86.5,0,0,0.002,0,7.409
1/1/22 1:30,14.32,87.2,0,0,0.002,0,7.212
1/1/22 2:00,13.98,87.7,0,0,0.002,0,7.342
1/1/22 2:30,13.73,88.2,0,0,0.002,0,6.776
1/1/22 3:00,13.44,88.7,0,0,0.002,0,6.32
1/1/22 3:30,13.13,91,0,0,0.002,0,6.117
1/1/22 4:00,12.9,89.9,0,0,0.002,0,5.883
1/1/22 4:30,12.65,90.5,0,0,0.001,0,5.277
1/1/22 5:00,12.36,90.1,0,0,0.001,0,5.405
1/1/22 5:30,12.17,93,0,0,0.002,0,5.128
1/1/22 6:00,11.95,93.3,0,0,0.001,0,4.846
1/1/22 6:30,11.69,93.5,0,0,0.002,0,4.619
1/1/22 7:00,11.48,93.7,0.001,0.001,0.002,0.001,4.446
1/1/22 7:30,11.33,93.7,0.022,0.029,0.002,0.022,5.05
1/1/22 8:00,11.42,94.4,0.073,0.115,0.088,0.118,7.668
1/1/22 8:30,12.07,94.1,0.158,0.224,0.204,0.238,11.75
1/1/22 9:00,13.37,93.5,0.259,0.354,0.341,0.382,17.2
1/1/22 9:30,15.42,71.74,0.357,0.47,0.457,0.506,27.29
1/1/22 10:00,18.06,61.28,0.359,0.422,0.407,0.453,33.41
1/1/22 10:30,20.52,64.26,0.257,0.257,0.245,0.283,27.85
1/1/22 11:00,21.78,62.01,0.243,0.244,0.236,0.272,25.55
1/1/22 11:30,22.42,57.57,0.491,0.603,0.576,0.637,32.58
1/1/22 12:00,23.5,46.66,0.544,0.761,0.703,0.776,40.8
1/1/22 12:30,24.5,49.85,0.514,0.741,0.683,0.754,41.05
1/1/22 13:00,25.2,45.14,0.49,0.718,0.657,0.728,41.44
1/1/22 13:30,25.66,44.87,0.455,0.677,0.623,0.688,41.1
1/1/22 14:00,25.93,48.69,0.393,0.586,0.539,0.597,39.16
1/1/22 14:30,25.92,51.35,0.345,0.528,0.487,0.54,35.07
1/1/22 15:00,25.56,55.34,0.24,0.359,0.325,0.365,32.39
1/1/22 15:30,24.79,64.37,0.095,0.124,0.097,0.124,21.33
1/1/22 16:00,23.43,64.32,0.096,0.167,0.087,0.12,20.68
1/1/22 16:30,22.29,68.76,0.032,0.049,0.003,0.032,16.46
1/1/22 17:00,21.12,75.79,0.003,0.001,0.003,0.001,12.37
1/1/22 17:30,19.81,79.14,0,0,0.002,0,10.51
1/1/22 18:00,18.64,82.3,0,0,0.002,0,9.7
1/1/22 18:30,17.57,84.7,0,0,0.002,0,8.74
1/1/22 19:00,16.6,85.9,0,0,0.002,0,8.12
1/1/22 19:30,15.82,86.8,0,0,0.002,0,7.717
1/1/22 20:00,15.18,88.3,0,0,0.002,0,7.495
1/1/22 20:30,14.77,87.8,0,0,0.002,0,7.356
1/1/22 21:00,14.35,88.6,0,0,0.002,0,6.666
1/1/22 21:30,13.86,88.6,0,0,0.002,0,6.433
1/1/22 22:00,13.49,90.1,0,0,0.002,0,6.132
1/1/22 22:30,13.18,89.5,0,0,0.002,0,6.096
1/1/22 23:00,13,89.1,0,0,0.002,0,6.185
1/1/22 23:30,12.86,91.3,0,0,0.002,0,5.5
1/2/22 0:00,12.62,93.3,0,0,0.002,0,5.771
1/2/22 0:30,12.56,93.4,0,0,0.002,0,6.017
1/2/22 1:00,12.49,89.8,0,0,0.002,0,5.473
1/2/22 1:30,12.23,90.8,0,0,0.002,0,4.747
1/2/22 2:00,11.91,92.4,0,0,0.002,0,4.72
1/2/22 2:30,11.68,92.2,0,0,0.002,0,4.719
1/2/22 3:00,11.59,92.7,0,0,0.002,0,4.678
1/2/22 3:30,11.48,93.6,0,0,0.002,0,4.456
1/2/22 4:00,11.35,94.1,0,0,0.002,0,5.125
1/2/22 4:30,11.51,93.4,0,0,0.002,0,5.489
1/2/22 5:00,11.64,90,0,0,0.002,0,5.235
1/2/22 5:30,11.7,92.8,0,0,0.002,0,4.803
